epoch,loss,lr,mean_squared_error,val_loss,val_mean_squared_error
0,0.0006450263317674398,0.0009944713,0.0006450260989367962,7.760352309560403e-05,7.760352309560403e-05
1,0.00016300352581311017,0.0009780085,0.00016300355491694063,5.6883549405029044e-05,5.688354212907143e-05
2,0.000123454155982472,0.0009509796,0.00012345414143055677,5.162709567230195e-05,5.162709567230195e-05
3,0.00010521621879888698,0.0009139882,0.00010521621879888698,4.180163887212984e-05,4.180164251010865e-05
4,9.379102266393602e-05,0.0008678607,9.379105176776648e-05,4.436152084963396e-05,4.4361517211655155e-05
5,8.4560269897338e-05,0.00081362744,8.456033538095653e-05,3.735474092536606e-05,3.7354744563344866e-05
6,7.623068813700229e-05,0.0007525,7.623075362062082e-05,3.243079481762834e-05,3.243079481762834e-05
7,6.94858972565271e-05,0.0006858438,6.948590453248471e-05,3.12124757329002e-05,3.12124757329002e-05
8,6.415835377993062e-05,0.0006151479,6.415835377993062e-05,3.1261180993169546e-05,3.1261180993169546e-05
9,5.970985512249172e-05,0.0005419914,5.970986239844933e-05,3.093810300924815e-05,3.093810664722696e-05
10,5.5595046433154494e-05,0.0004680086,5.559506098506972e-05,2.6530011382419616e-05,2.6530009563430212e-05
11,5.219636659603566e-05,0.00039485213,5.219639206188731e-05,2.6157980755669996e-05,2.6157978936680593e-05
12,4.956371776643209e-05,0.0003241562,4.9563725042389706e-05,2.5349656425532885e-05,2.534965824452229e-05
13,4.749212894239463e-05,0.0002575,4.749215077026747e-05,2.4503156964783557e-05,2.4503155145794153e-05
14,4.573620390146971e-05,0.00019637255,4.573621481540613e-05,2.3559212422696874e-05,2.355921060370747e-05
15,4.4557946239365265e-05,0.00014213932,4.4557971705216914e-05,2.312895048817154e-05,2.3128952307160944e-05
16,4.359157173894346e-05,9.6011805e-05,4.359157173894346e-05,2.2386539058061317e-05,2.2386539058061317e-05
17,4.291429650038481e-05,5.902041e-05,4.291429650038481e-05,2.214527557953261e-05,2.214527557953261e-05
18,4.251790960552171e-05,3.199146e-05,4.251790960552171e-05,2.221593604190275e-05,2.2215937860892154e-05
19,4.223225187161006e-05,1.5528742e-05,4.223227733746171e-05,2.1967953216517344e-05,2.196795139752794e-05
20,5.165240145288408e-05,0.0009944713,5.165238690096885e-05,2.824163129844237e-05,2.824163129844237e-05
21,4.960504884365946e-05,0.0009780085,4.9605081585468724e-05,2.9269782316987403e-05,2.9269784135976806e-05
22,4.804832860827446e-05,0.0009509796,4.80483504361473e-05,2.5758223273442127e-05,2.5758221454452723e-05
23,4.6759905671933666e-05,0.0009139882,4.675990203395486e-05,2.7794450943474658e-05,2.7794449124485254e-05
24,4.598268060362898e-05,0.0008678607,4.5982684241607785e-05,2.530905658204574e-05,2.530905658204574e-05
25,4.4595461076823995e-05,0.00081362744,4.4595461076823995e-05,2.3960479666129686e-05,2.396048148511909e-05
26,4.3449948861962184e-05,0.0007525,4.344996341387741e-05,2.3283788323169574e-05,2.328379196114838e-05
27,4.212606290820986e-05,0.0006858438,4.2126044718315825e-05,2.458487324474845e-05,2.4584869606769644e-05
28,4.118781362194568e-05,0.0006151479,4.118778451811522e-05,2.3202643205877393e-05,2.3202643205877393e-05
29,4.037800317746587e-05,0.0005419914,4.037799226352945e-05,2.1164196368772537e-05,2.1164196368772537e-05
30,3.9360729715554044e-05,0.0004680086,3.9360740629490465e-05,2.111189314746298e-05,2.111189314746298e-05
31,3.8795322325313464e-05,0.00039485213,3.8795322325313464e-05,2.0635061446228065e-05,2.0635061446228065e-05
32,3.8056852645240724e-05,0.0003241562,3.805687447311357e-05,2.000975473492872e-05,2.000975473492872e-05
33,3.744119021575898e-05,0.0002575,3.7441172025864944e-05,1.9718645489774644e-05,1.971864912775345e-05
34,3.690331504913047e-05,0.00019637255,3.690333687700331e-05,1.9555231119738892e-05,1.9555229300749488e-05
35,3.658572677522898e-05,0.00014213932,3.6585741327144206e-05,1.905566023197025e-05,1.9055662050959654e-05
36,3.622851727413945e-05,9.6011805e-05,3.622851727413945e-05,1.9062197679886594e-05,1.9062199498875998e-05
37,3.600680793169886e-05,5.902041e-05,3.600681520765647e-05,1.8838720279745758e-05,1.883872209873516e-05
38,3.5793658753391355e-05,3.199146e-05,3.579366602934897e-05,1.8703567548072897e-05,1.8703567548072897e-05
39,3.574873699108139e-05,1.5528742e-05,3.5748726077144966e-05,1.857617826317437e-05,1.857617826317437e-05
40,4.2186638893326744e-05,0.0009944713,4.218664253130555e-05,2.3821121430955827e-05,2.3821119611966424e-05
41,4.2152565583819523e-05,0.0009780085,4.2152540117967874e-05,2.7000243790098466e-05,2.700024015211966e-05
42,4.152390101808123e-05,0.0009509796,4.152390829403885e-05,2.211929313489236e-05,2.211929313489236e-05
43,4.072135561727919e-05,0.0009139882,4.0721333789406344e-05,2.306007081642747e-05,2.3060072635416873e-05
44,4.072303636348806e-05,0.0008678607,4.072304000146687e-05,2.2700918634654954e-05,2.2700918634654954e-05
45,3.947767982026562e-05,0.00081362744,3.947767982026562e-05,2.0886385755147785e-05,2.0886385755147785e-05
46,3.863660094793886e-05,0.0007525,3.863660094793886e-05,2.033736564044375e-05,2.0337363821454346e-05
47,3.8192738429643214e-05,0.0006858438,3.819270932581276e-05,2.0915682398481295e-05,2.0915682398481295e-05
48,3.736795042641461e-05,0.0006151479,3.736793587449938e-05,2.1166699298191816e-05,2.116670111718122e-05
49,3.7007172068115324e-05,0.0005419914,3.700717570609413e-05,1.97167755686678e-05,1.9716777387657203e-05
50,3.6135832488071173e-05,0.0004680086,3.613582157413475e-05,1.9076458556810394e-05,1.9076460375799797e-05
51,3.5604734875960276e-05,0.00039485213,3.5604723962023854e-05,1.8735818230197765e-05,1.8735818230197765e-05
52,3.514090712997131e-05,0.0003241562,3.514089257805608e-05,1.80427359737223e-05,1.8042737792711705e-05
53,3.483509135548957e-05,0.0002575,3.483510226942599e-05,1.801074540708214e-05,1.8010743588092737e-05
54,3.426685725571588e-05,0.00019637255,3.426683906582184e-05,1.805936699383892e-05,1.805936699383892e-05
55,3.4031276300083846e-05,0.00014213932,3.403127266210504e-05,1.757859172357712e-05,1.7578595361555927e-05
56,3.3714837627485394e-05,9.6011805e-05,3.371483035152778e-05,1.723394962027669e-05,1.7233947801287286e-05
57,3.364804433658719e-05,5.902041e-05,3.364803342265077e-05,1.7073662093025632e-05,1.7073662093025632e-05
58,3.338281385367736e-05,3.199146e-05,3.338281749165617e-05,1.704331225482747e-05,1.7043310435838066e-05
59,3.320558971608989e-05,1.5528742e-05,3.3205593354068696e-05,1.695864375506062e-05,1.695864375506062e-05
60,3.848617052426562e-05,0.0009944713,3.848615597235039e-05,2.062136809399817e-05,2.062136809399817e-05
